Provinsi,Tahun,Zina,Mabuk,Madat,Judi,Meninggalkan Salah satu Pihak,Dihukum Penjara,Poligami,Kekerasan Dalam Rumah Tangga,Cacat Badan,Perselisihan dan Pertengkaran Terus Menerus,Kawin Paksa,Murtad,Ekonomi,Lain-lain,Jumlah,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,2018,1,15,19,10,968,44,17,107,8,3426,1,2,485,92,5195,54399,1416,3714,5130
Aceh,2019,2,9,5,4,1123,58,27,107,15,4221,2,5,416,69,6063,45648,1533,4395,5928
Aceh,2020,2,3,5,2,580,52,11,58,8,3370,0,3,77,0,4171,42298,1093,3078,4171
Aceh,2021,1,4,18,11,699,90,19,88,27,5238,3,9,235,0,6442,40931,1469,4973,6442
Aceh,2022,5,15,20,27,747,101,57,173,25,5412,2,12,308,0,6904,39572,1879,5917,7796
Aceh,2023,0,8,12,25,669,68,25,102,12,4915,3,12,235,0,6086,33979,1575,5369,6944
Aceh,2024,6,10,18,26,551,61,28,122,16,5035,3,9,218,0,6103,31740,1192,4739,5931
Bali,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3410,0,0,0
Bali,2019,2,6,0,0,232,2,1,14,1,869,1,9,74,0,1211,3397,0,0,0
Bali,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,0,0,0
Bali,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2912,0,0,0
Bali,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3047,0,0,0
Bali,2023,3,5,1,2,87,4,1,15,0,886,1,26,34,0,1065,3056,361,974,1335
Bali,2024,1,12,0,3,85,7,0,65,2,848,0,19,23,0,1065,3189,235,806,1041
Banten,2018,3,235,129,142,1913,74,117,918,10,6204,14,50,2148,0,11957,95251,2995,10242,13237
Banten,2019,5,135,28,79,1968,63,278,611,8,9603,8,52,2649,0,15487,92022,3193,11822,15015
Banten,2020,22,57,10,40,905,14,108,250,3,6533,7,42,2410,0,10401,79252,2302,8099,10401
Banten,2021,7,123,23,77,1067,36,93,361,18,10058,5,79,3721,0,15668,77058,3323,12345,15668
Banten,2022,6,84,13,87,769,37,35,264,7,10708,0,86,3226,0,15322,74616,4006,14695,18701
Banten,2023,4,56,13,109,592,24,19,224,4,9671,8,82,3327,0,14133,68185,3377,12781,16158
Banten,2024,2,32,11,166,442,10,15,290,1,9974,2,49,2535,0,13529,63441,2617,10839,13456
Bengkulu,2018,0,5,1,5,419,10,6,10,2,2180,3,4,149,0,2794,15382,746,2106,2852
Bengkulu,2019,5,6,2,5,432,11,7,23,1,2664,2,4,160,0,3322,14964,875,2420,3295
Bengkulu,2020,1,6,0,11,331,19,2,23,1,2509,4,8,189,0,3104,14358,808,2296,3104
Bengkulu,2021,2,11,3,15,364,14,5,37,3,3149,1,4,237,0,3845,15064,912,2933,3845
Bengkulu,2022,4,11,3,11,308,20,4,29,5,3135,9,5,266,0,3810,14697,1075,3151,4226
Bengkulu,2023,0,9,1,16,272,24,2,43,2,3139,1,9,123,0,3641,13538,932,3173,4105
Bengkulu,2024,2,8,4,26,263,18,6,85,1,2991,0,5,130,0,3539,13113,743,2694,3437
DI Yogyakarta,2018,4,21,0,8,1274,6,2,76,8,3446,6,12,756,0,5619,24387,1591,4266,5857
DI Yogyakarta,2019,12,10,13,7,1266,8,6,54,0,4221,2,13,627,0,6239,24427,1529,4189,5718
DI Yogyakarta,2020,11,19,0,10,735,9,5,50,8,3343,6,24,1068,0,5288,26030,1344,3944,5288
DI Yogyakarta,2021,4,26,1,9,762,10,8,65,7,3835,8,26,872,0,5633,21983,1467,4166,5633
DI Yogyakarta,2022,2,17,1,6,619,11,3,46,4,3828,3,20,787,0,5347,21448,1570,4537,6107
DI Yogyakarta,2023,4,25,3,7,547,8,7,58,3,3921,0,21,583,0,5187,20123,1390,4422,5812
DI Yogyakarta,2024,11,19,0,17,453,9,3,93,14,3431,4,28,637,0,4719,18920,980,3683,4663
DKI Jakarta,2018,30,84,10,27,2384,18,38,820,7,5408,2,34,3118,0,11980,58764,3666,10497,14163
DKI Jakarta,2019,12,42,19,24,2116,46,36,328,4,9422,3,59,3214,0,15325,57814,371,1152,1523
DKI Jakarta,2020,5,25,15,16,1729,31,18,167,5,8265,3,61,1758,0,12098,50776,3038,9060,12098
DKI Jakarta,2021,18,55,17,25,1827,56,22,234,7,11029,3,60,2664,0,16017,47724,3959,12058,16017
DKI Jakarta,2022,8,32,10,29,1716,36,35,159,5,11163,1,58,2695,0,15947,47225,4943,14965,19908
DKI Jakarta,2023,14,42,25,57,1970,34,43,178,4,9464,6,92,2452,0,14381,43363,4293,12970,17263
DKI Jakarta,2024,53,40,19,119,1505,27,25,272,6,8374,1,53,1881,0,12375,40458,2800,9349,12149
Gorontalo,2018,8,90,1,6,373,6,8,48,0,1310,1,2,61,0,1914,10213,485,1472,1957
Gorontalo,2019,4,169,20,12,489,2,9,79,0,1379,4,11,94,0,2272,10097,521,1868,2389
Gorontalo,2020,1,95,2,2,325,1,9,24,0,958,2,5,28,0,1452,10139,318,1134,1452
Gorontalo,2021,0,79,2,1,447,1,7,36,0,1797,2,12,34,0,2418,9987,524,1894,2418
Gorontalo,2022,0,134,2,2,454,2,8,47,0,1659,1,15,37,0,2361,9500,535,2199,2734
Gorontalo,2023,7,90,3,1,388,6,3,62,0,1452,1,9,40,0,2062,8592,514,1916,2430
Gorontalo,2024,2,73,2,3,392,3,5,88,2,1514,6,7,27,0,2124,8093,354,1665,2019
Jambi,2018,4,34,8,29,711,29,9,102,3,2874,1,3,462,0,4269,28265,999,3184,4183
Jambi,2019,3,12,13,17,743,26,11,69,2,3254,3,6,489,0,4648,26370,1111,3568,4679
Jambi,2020,4,11,4,12,387,28,8,37,2,3164,3,7,216,0,3883,24993,947,2936,3883
Jambi,2021,3,14,4,14,448,29,13,36,2,4140,0,11,286,0,5000,25837,1147,3853,5000
Jambi,2022,4,14,6,15,656,32,7,42,5,4917,1,24,481,0,6204,25624,1329,4136,5465
Jambi,2023,4,8,13,22,324,31,10,49,5,3931,3,16,157,0,4573,23037,1157,3932,5089
Jambi,2024,4,20,30,46,375,34,9,77,1,3746,2,6,230,0,4580,21590,906,3576,4482
Jawa Barat,2018,66,430,68,241,12341,64,258,1459,16,29208,41,78,36701,4058,85029,438384,22050,65257,87307
Jawa Barat,2019,30,226,19,239,5084,178,221,748,36,34430,43,173,39988,1233,82648,409699,24443,72647,97090
Jawa Barat,2020,16,52,11,45,1563,53,103,125,21,17336,11,113,18054,0,37503,372723,10826,26677,37503
Jawa Barat,2021,16,102,24,86,4066,141,151,323,41,52213,16,306,40603,0,98088,346484,23971,74117,98088
Jawa Barat,2022,48,124,17,157,4613,155,166,397,25,55532,26,335,37295,0,98890,336912,27907,85736,113643
Jawa Barat,2023,28,125,28,209,3418,214,138,442,18,48812,22,309,37383,0,91146,317715,24610,77670,102280
Jawa Barat,2024,39,124,26,472,2781,156,147,653,20,51122,17,164,33264,0,88985,292969,19874,68968,88842
Jawa Tengah,2018,123,155,102,129,19765,61,55,402,32,28527,266,170,21908,16,71711,320677,20107,55450,75557
Jawa Tengah,2019,109,95,131,115,16743,2334,55,486,104,37146,275,170,24057,1,81821,312061,21332,61426,82758
Jawa Tengah,2020,125,169,27,95,12679,64,57,294,59,32201,83,199,19703,0,65755,271452,16808,48947,65755
Jawa Tengah,2021,29,180,11,131,11184,102,73,259,78,40418,72,188,22784,0,75509,277060,18802,56707,75509
Jawa Tengah,2022,31,199,16,131,9337,102,69,245,53,40283,70,160,23334,0,74030,270304,21150,64262,85412
Jawa Tengah,2023,39,136,20,143,7378,99,40,235,37,36618,38,174,23176,0,68133,256144,18327,58040,76367
Jawa Tengah,2024,43,168,23,281,7019,123,59,336,52,34812,40,149,21832,0,64937,233204,13786,50783,64569
Jawa Timur,2018,811,483,47,355,12595,99,157,1455,343,38109,382,199,32105,418,87558,339797,26790,62165,88955
Jawa Timur,2019,417,329,78,241,11093,201,106,1593,96,43669,359,238,35835,1297,95552,339304,28053,66954,95007
Jawa Timur,2020,205,144,9,116,4416,116,92,619,39,34822,101,239,20952,0,61870,316103,18581,43289,61870
Jawa Timur,2021,235,315,31,230,6204,180,117,1354,80,45712,159,206,33412,0,88235,298543,25113,63122,88235
Jawa Timur,2022,461,388,27,307,6498,205,141,1577,96,44464,178,252,34499,0,89093,305458,29150,72915,102065
Jawa Timur,2023,579,404,38,415,5986,173,132,1636,54,35940,163,156,33572,0,79248,285189,24113,64100,88213
Jawa Timur,2024,695,517,75,819,5381,177,180,1985,41,36275,181,115,32852,0,79293,271406,18979,58679,77658
Kalimantan Barat,2018,16,23,3,39,724,16,29,62,5,3163,4,16,445,2,4547,25660,934,3580,4514
Kalimantan Barat,2019,7,41,2,30,561,38,10,57,3,3394,5,18,841,0,5007,26231,1038,4019,5057
Kalimantan Barat,2020,10,20,6,22,527,14,12,41,2,3119,2,14,460,0,4249,23025,846,3403,4249
Kalimantan Barat,2021,13,19,8,21,605,44,12,48,2,4069,3,24,356,1,5225,23586,1126,4099,5225
Kalimantan Barat,2022,13,35,13,38,739,37,25,52,4,4221,4,26,454,0,5661,24266,1379,4257,5636
Kalimantan Barat,2023,6,35,18,33,649,32,28,86,7,3750,0,23,312,0,4979,21533,1161,4607,5768
Kalimantan Barat,2024,17,51,18,99,893,31,34,247,4,2922,3,22,413,0,4754,21064,835,3800,4635
Kalimantan Selatan,2018,17,228,74,30,880,69,71,80,8,4890,32,9,980,7,7375,30789,1598,5780,7378
Kalimantan Selatan,2019,1,151,123,26,924,99,74,102,18,5275,33,19,976,0,7821,31983,1781,6117,7898
Kalimantan Selatan,2020,4,43,8,16,274,25,36,47,4,2641,15,8,289,0,3410,27401,824,2586,3410
Kalimantan Selatan,2021,1,84,24,18,608,75,72,74,14,6071,11,22,508,0,7582,27417,1543,6039,7582
Kalimantan Selatan,2022,3,85,20,10,494,116,47,61,2,6444,5,65,354,0,7706,27071,1773,6452,8225
Kalimantan Selatan,2023,4,55,15,18,346,106,31,77,5,5517,10,23,330,0,6537,25579,1546,5727,7273
Kalimantan Selatan,2024,3,66,6,22,302,75,19,53,10,5676,8,13,312,0,6565,25069,1238,5139,6377
Kalimantan Tengah,2018,4,66,12,14,548,16,16,59,7,1752,5,52,210,3,2764,15902,726,2099,2825
Kalimantan Tengah,2019,3,74,5,15,633,29,27,60,2,2365,5,43,239,1,3501,15516,899,2764,3663
Kalimantan Tengah,2020,2,20,7,2,296,10,8,32,3,1094,4,12,105,0,1595,13941,405,1190,1595
Kalimantan Tengah,2021,3,29,0,7,533,38,11,35,7,2620,3,19,178,1,3484,14136,810,2674,3484
Kalimantan Tengah,2022,2,24,3,18,452,44,8,31,9,2799,0,14,153,0,3557,14548,1015,2987,4002
Kalimantan Tengah,2023,2,37,5,9,495,32,18,35,8,2310,7,11,178,0,3147,13702,867,2890,3757
Kalimantan Tengah,2024,1,31,3,27,310,47,10,45,2,2494,3,12,153,0,3138,13688,640,2400,3040
Kalimantan Timur,2018,11,49,59,39,1615,87,72,307,4,4028,11,31,1298,16,7627,24979,1970,5779,7749
Kalimantan Timur,2019,22,30,68,38,1399,103,86,233,7,4296,10,40,1345,0,7677,26080,2367,6535,8902
Kalimantan Timur,2020,15,31,53,37,1095,123,73,180,12,4482,12,49,850,0,7012,25030,1775,5237,7012
Kalimantan Timur,2021,8,43,65,42,1229,131,64,175,5,5287,14,31,907,0,8001,22386,1996,6005,8001
Kalimantan Timur,2022,16,35,48,43,1168,142,40,154,10,5542,7,43,1101,0,8349,22757,2550,7641,10191
Kalimantan Timur,2023,7,61,41,55,962,101,33,137,3,4708,8,28,766,0,6910,22449,2084,6157,8241
Kalimantan Timur,2024,15,37,42,67,872,87,42,223,8,4374,6,19,487,0,6279,20940,1518,4698,6216
Kalimantan Utara,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3807,0,0,0
Kalimantan Utara,2019,0,5,7,0,239,21,5,7,0,1036,1,10,29,4,1364,4041,0,0,0
Kalimantan Utara,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4782,0,0,0
Kalimantan Utara,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3547,0,0,0
Kalimantan Utara,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3615,0,0,0
Kalimantan Utara,2023,1,0,0,0,95,15,1,3,1,850,1,1,9,0,977,3088,299,919,1218
Kalimantan Utara,2024,0,0,0,1,110,16,1,11,0,803,0,6,1,0,949,2899,205,726,931
Kepulauan Bangka Belitung,2018,3,15,3,8,371,15,17,72,1,1665,1,4,115,0,2290,10118,574,1719,2293
Kepulauan Bangka Belitung,2019,6,22,2,8,242,28,13,27,1,1961,0,9,154,0,2473,9458,573,1885,2458
Kepulauan Bangka Belitung,2020,8,12,1,4,103,16,11,30,1,1633,1,14,167,0,2001,8806,510,1491,2001
Kepulauan Bangka Belitung,2021,5,45,3,12,142,27,5,80,1,1882,1,2,272,0,2477,8711,577,1900,2477
Kepulauan Bangka Belitung,2022,3,39,0,20,126,23,7,53,0,1977,1,9,442,0,2700,9204,759,2272,3031
Kepulauan Bangka Belitung,2023,5,21,0,32,180,19,6,62,1,1453,0,8,452,0,2239,8559,578,1950,2528
Kepulauan Bangka Belitung,2024,2,39,0,65,163,18,3,123,3,1601,0,6,268,0,2291,7973,440,1782,2222
Kepulauan Riau,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12348,0,0,0
Kepulauan Riau,2019,22,34,5,34,522,40,6,39,1,2574,1,11,208,0,3497,12552,0,0,0
Kepulauan Riau,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12437,0,0,0
Kepulauan Riau,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11541,0,0,0
Kepulauan Riau,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11905,0,0,0
Kepulauan Riau,2023,1,3,2,4,384,40,8,13,1,2658,0,17,170,0,3301,11436,992,2960,3952
Kepulauan Riau,2024,10,14,6,22,311,23,3,93,2,2749,0,4,148,0,3385,11533,750,2676,3426
Lampung,2018,53,175,23,273,1734,24,34,253,155,4297,3,13,2870,0,9907,69435,2387,8134,10521
Lampung,2019,106,151,53,220,1515,22,24,467,21,6055,10,28,3856,0,12528,66816,2920,9750,12670
Lampung,2020,11,53,5,61,769,23,17,245,14,7556,1,53,2419,0,11227,58423,2469,8758,11227
Lampung,2021,2,53,7,51,624,30,19,167,5,11231,2,72,2770,0,15033,59587,3119,11914,15033
Lampung,2022,5,42,5,38,645,36,17,146,9,11925,2,53,2438,0,15361,58766,3586,13562,17148
Lampung,2023,8,72,8,81,667,26,15,167,8,10099,2,47,2838,0,14038,54257,3172,12612,15784
Lampung,2024,8,72,9,131,655,31,29,259,6,11195,0,40,2168,0,14603,50230,2575,11896,14471
Maluku,2018,4,14,0,11,72,0,7,22,1,327,0,4,6,0,468,6698,137,375,512
Maluku,2019,4,14,1,8,110,1,6,42,0,441,1,4,9,1,642,6569,194,453,647
Maluku,2020,0,0,0,1,41,0,0,9,0,169,0,2,3,0,225,6571,71,154,225
Maluku,2021,0,0,0,2,164,1,2,40,0,542,0,0,8,0,759,5933,212,547,759
Maluku,2022,0,4,0,1,143,2,1,25,0,603,1,7,7,0,794,5648,265,682,947
Maluku,2023,0,14,1,0,101,2,4,29,1,632,0,1,8,0,793,5043,266,685,951
Maluku,2024,1,10,0,4,76,3,1,27,0,526,0,1,19,0,668,4464,170,453,623
Maluku Utara,2018,3,25,2,8,322,1,5,53,0,614,3,1,15,0,1052,6830,393,733,1126
Maluku Utara,2019,1,39,2,0,408,6,7,73,1,594,3,1,31,0,1166,6912,358,849,1207
Maluku Utara,2020,1,14,1,1,170,0,2,21,1,258,1,1,5,0,476,6981,136,340,476
Maluku Utara,2021,2,21,2,1,328,3,0,42,0,834,2,3,35,0,1273,6862,391,882,1273
Maluku Utara,2022,2,18,3,1,286,2,3,63,0,873,2,3,18,0,1274,6080,432,1056,1488
Maluku Utara,2023,1,13,1,1,247,3,3,28,0,857,0,4,10,0,1168,5271,414,933,1347
Maluku Utara,2024,1,54,0,10,220,4,12,43,0,918,0,5,57,0,1324,5724,323,937,1260
Nusa Tenggara Barat,2018,6,123,4,115,1604,38,64,437,5,4082,21,16,728,20,7263,43959,1781,5832,7613
Nusa Tenggara Barat,2019,5,131,28,52,1387,76,83,305,6,4013,10,19,571,0,6686,42425,2273,6902,9175
Nusa Tenggara Barat,2020,3,41,5,22,726,11,29,177,1,3425,1,16,398,0,4855,34657,1275,3580,4855
Nusa Tenggara Barat,2021,5,65,12,29,1566,19,32,280,1,6305,4,48,619,0,8985,35651,2040,6945,8985
Nusa Tenggara Barat,2022,2,71,9,30,1175,16,37,307,4,6482,8,45,573,0,8759,32939,2373,8373,10746
Nusa Tenggara Barat,2023,4,50,5,15,1189,12,29,240,4,4997,0,23,198,0,6766,27850,1724,6774,8498
Nusa Tenggara Barat,2024,2,66,7,44,1302,18,35,272,3,4980,3,7,207,0,6946,25424,1266,5408,6674
Nusa Tenggara Timur,2018,2,8,0,6,186,1,1,3,1,196,17,4,12,0,437,3661,166,270,436
Nusa Tenggara Timur,2019,0,6,0,0,169,15,1,7,0,259,0,6,7,0,470,3633,181,333,514
Nusa Tenggara Timur,2020,2,6,0,3,101,2,2,13,1,300,2,6,13,0,451,3533,155,296,451
Nusa Tenggara Timur,2021,0,9,0,0,91,2,0,10,0,313,0,6,5,0,436,3424,135,301,436
Nusa Tenggara Timur,2022,0,8,1,2,116,2,1,26,1,334,0,3,3,0,497,3388,195,408,603
Nusa Tenggara Timur,2023,3,2,0,3,112,0,0,19,0,320,1,3,8,0,471,2928,210,411,621
Nusa Tenggara Timur,2024,3,3,0,1,135,3,0,35,2,309,1,4,4,0,500,2775,139,346,485
Papua,2018,17,18,1,3,320,2,3,19,2,859,2,23,60,0,1329,4484,509,1205,1714
Papua,2019,23,9,3,10,313,5,2,28,2,690,2,20,56,0,1163,4463,547,1346,1893
Papua,2020,10,21,0,6,303,4,1,37,1,1006,0,16,119,0,1524,4035,429,1095,1524
Papua,2021,3,21,2,9,313,5,4,27,4,1285,3,15,147,0,1838,4134,514,1324,1838
Papua,2022,8,29,0,10,243,6,3,46,1,1277,3,21,151,0,1798,3879,617,1558,2175
Papua,2023,0,18,1,7,160,5,2,27,1,889,0,14,32,0,1156,1752,411,1042,1453
Papua,2024,1,8,1,15,142,4,0,51,0,824,0,13,29,0,1088,1473,254,806,1060
Papua Barat,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,0,0,0
Papua Barat,2019,0,19,4,3,81,0,0,16,0,317,2,2,84,0,528,2435,0,0,0
Papua Barat,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,0,0,0
Papua Barat,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,0,0,0
Papua Barat,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499,0,0,0
Papua Barat,2023,0,27,0,7,75,1,0,22,0,285,1,7,69,0,494,1113,172,464,636
Papua Barat,2024,0,18,0,6,80,5,1,30,1,276,0,5,63,0,485,1038,120,367,487
Papua Barat Daya,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,0,0,0
Papua Barat Daya,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0
Papua Pegunungan,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua Pegunungan,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
Papua Selatan,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0
Papua Selatan,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,929,0,0,0
Papua Tengah,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,0,0,0
Papua Tengah,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0
Riau,2018,24,62,17,58,1676,50,16,208,32,6926,21,18,1516,0,10624,45523,2945,7867,10812
Riau,2019,1,17,11,33,1238,64,6,115,4,7608,6,10,635,0,9748,44784,2976,8761,11737
Riau,2020,4,8,8,10,708,38,13,42,6,5176,4,18,217,0,6252,44791,1637,4615,6252
Riau,2021,39,35,24,33,1303,106,33,131,10,10285,10,37,676,0,12722,45046,3198,9524,12722
Riau,2022,24,28,34,33,962,118,28,134,4,9789,7,32,574,0,11767,44167,3700,11229,14929
